Name, Price, Change, Percentage Change, Transactions Number, Volume, Opening, Max, Min, Time
ABPL,50.4000,0.9000,1.82%,36,135130,49.7000,50.6000,48.5000,02.02 16:12
ACAUTOGAZ,29.5000,0.2000,0.68%,12,15877,29.4000,29.5000,29.4000,02.02 16:34
ACTION,13.0000,0.3500,2.77%,183,447430,12.6500,13.1000,12.5000,02.02 16:39
ADIUVO,2.8500,0.1600,5.95%,23,27788,2.6800,2.8500,2.6500,02.02 16:39
AGORA,7.8200,0.4400,5.96%,293,908235,7.4800,8.0000,7.4800,02.02 16:31
AGROTON,6.0600,0.3400,5.94%,39,351726,5.7400,6.1600,5.7000,02.02 16:37
AIGAMES,3.6600,-0.0100,-0.27%,13,11154,3.6250,3.7550,3.6200,02.02 15:50
AILLERON,13.1500,0.1500,1.15%,23,59322,12.7000,13.1500,12.7000,02.02 15:52
AIRWAY,0.7900,0.0700,9.72%,372,458015,0.7360,0.8640,0.7210,02.02 16:38
ALIOR,58.5800,0.5200,0.90%,1469,11795826,58.3600,59.1400,57.6800,02.02 16:42
ALLEGRO,38.6500,-0.1850,-0.48%,7511,54666944,39.2000,39.2000,38.3200,02.02 16:42
ALTA,2.6000,0.1800,7.44%,15,26973,2.4400,2.6000,2.4400,02.02 16:40
ALTUS,1.4950,-0.0050,-0.33%,4,9722,1.4550,1.4950,1.4500,02.02 12:23
ALUMETAL,66.0000,0.2000,0.30%,220,1201869,65.8000,67.0000,63.0000,02.02 16:27
AMBRA,23.7000,0.3000,1.28%,77,1158848,23.7000,23.8000,23.2000,02.02 16:23
AMICA,111.6000,1.6000,1.45%,258,751854,110.6000,114.4000,110.0000,02.02 16:42
AMPLI,0.9950,-0.1750,-14.96%,20,16839,0.7600,0.9950,0.7600,02.02 15:08
AMREST,26.6800,1.2800,5.04%,370,2020426,25.6000,27.2000,25.5000,02.02 16:39
ANSWEAR,31.6500,1.2000,3.94%,76,171372,30.7000,31.9500,30.7000,02.02 16:21
APATOR,19.2000,0.0500,0.26%,71,244161,19.4500,19.4500,18.9500,02.02 16:26
APLISENS,12.9000,0.1000,0.78%,7,826,12.9000,12.9000,12.9000,02.02 11:24
APSENERGY,3.1300,0.0500,1.62%,7,646,3.1000,3.1300,3.0900,02.02 09:01
ARCHICOM,20.0000,0.6000,3.09%,17,27944,19.7000,20.1000,19.7000,02.02 16:33
ARCTIC,9.3100,0.0600,0.65%,214,708285,9.3000,9.4700,9.1100,02.02 16:41
ARTERIA,7.1000,0.0500,0.71%,5,13685,7.0500,7.1000,6.7000,02.02 15:05
ARTIFEX,10.5500,0.3000,2.93%,65,208697,10.3500,10.6000,10.2500,02.02 16:34
ASBIS,17.9200,0.9200,5.41%,1491,4991342,17.0000,18.1000,17.0000,02.02 16:42
ASMGROUP,0.4500,0.0180,4.17%,1,0,0.4500,0.4500,0.4500,04.10 13:07
ASSECOBS,40.1000,-0.6000,-1.47%,28,34401,41.0000,41.0000,40.1000,02.02 16:42
ASSECOPOL,81.1000,-0.2500,-0.31%,1228,5639797,81.1000,81.5000,80.2000,02.02 16:42
ASSECOSEE,49.2000,-0.6000,-1.20%,64,284487,49.9000,50.0000,49.0000,02.02 16:41
ASTARTA,33.9500,-0.8000,-2.30%,205,834399,34.7500,35.0000,33.6000,02.02 16:34
ATAL,42.5000,0.7000,1.67%,54,336367,42.3000,42.8000,41.9000,02.02 16:30
ATENDE,4.5000,0.1200,2.74%,29,35404,4.4000,4.5300,4.4000,02.02 16:25
ATLANTAPL,9.9800,0.0200,0.20%,6,3609,9.9800,9.9800,9.9600,02.02 13:38
ATLANTIS,1.4500,-0.7100,-32.87%,1185,2530331,1.9600,2.1000,1.4400,20.01 16:49
ATLASEST,2.8000,-0.0600,-2.10%,6,3583,2.6200,2.8000,2.6000,01.02 16:44
ATMGRUPA,4.3900,0.0800,1.86%,39,28542,4.2100,4.3900,4.2100,02.02 16:41
ATREM,2.3400,0.0400,1.74%,5,59,2.3400,2.3400,2.2300,02.02 16:00
AUGA,2.4200,0.0200,0.83%,4,2971,2.4000,2.4200,2.4000,21.09 13:51
AUTOPARTN,15.4500,-0.2000,-1.28%,79,351098,15.8000,15.8000,15.4000,02.02 16:25
AWBUD,0.9500,0.0000,0.00%,1,19,0.9500,0.9500,0.9500,09.09 11:00
BAHOLDING,0.5760,-0.0020,-0.35%,81,48697,0.5740,0.5790,0.5630,02.02 16:34
BBIDEV,7.0600,0.0600,0.86%,30,69884,7.0400,7.0600,6.8600,02.02 15:59
BEDZIN,7.0000,0.0000,0.00%,5,35,7.0000,7.0000,7.0000,02.02 14:19
BENEFIT,640.0000,1.0000,0.16%,28,142783,648.0000,648.0000,640.0000,02.02 13:27
BERLING,4.8000,0.0000,0.00%,1,490,4.8000,4.8000,4.8000,31.01 11:00
BEST,22.8000,0.0000,0.00%,6,431,22.6000,22.8000,22.6000,02.02 15:48
BETACOM,8.4500,0.3500,4.32%,11,75960,8.1000,8.4500,8.0000,02.02 13:49
BIGCHEESE,37.7300,-0.7700,-2.00%,11,67353,38.5000,38.5000,37.6200,02.02 16:23
BIGCHEESE-PDA,33.3300,-0.3700,-1.10%,5,11526,31.5000,33.3300,31.0000,30.12 10:08
BIK,22.4000,0.2000,0.90%,2,204,22.8000,22.8000,22.4000,06.05 14:34
BIOMAXIMA,33.3800,-0.1400,-0.42%,875,2510971,33.0400,35.4800,32.3200,02.02 16:42
BIOMEDLUB,4.4000,0.0700,1.62%,759,1890618,4.3500,4.5800,4.3300,02.02 16:38
BIOPLANET,24.4000,-0.6000,-2.40%,4,1151,25.0000,25.0000,24.4000,02.02 16:21
BIOPLANET-PDA,25.0000,0.0000,0.00%,2,4575,25.0000,25.0000,25.0000,26.01 13:11
BIOTON,4.0900,0.0300,0.74%,32,30585,4.1000,4.1350,4.0650,02.02 16:35
BNPPPL,82.0000,1.0000,1.23%,76,213817,81.2000,82.6000,78.4000,02.02 16:38
BOGDANKA,31.9000,0.9500,3.07%,4155,22195322,31.5000,33.8000,31.0500,02.02 16:42
BOOMBIT,18.3600,-0.0200,-0.11%,41,72871,17.8800,18.3600,17.8800,02.02 16:18
BORYSZEW,3.5050,-0.0450,-1.27%,19,29206,3.4900,3.5150,3.4900,02.02 13:13
BOS,9.3000,0.3400,3.79%,113,312048,9.0000,9.4800,8.9000,02.02 16:35
BOWIM,9.8800,0.0200,0.20%,159,311400,9.9200,9.9800,9.8600,02.02 16:37
BRAND24,24.5000,0.1000,0.41%,19,31178,23.8000,24.5000,23.6000,02.02 15:09
BRASTER,0.8000,-0.0200,-2.44%,54,134887,0.8160,0.8190,0.7900,02.02 16:23
BUDIMEX,240.5000,6.5000,2.78%,185,492262,239.0000,241.5000,234.0000,02.02 16:37
BUMECH,22.0000,1.4000,6.80%,1095,8246356,20.8000,23.2000,20.8000,02.02 16:42
CAPITAL,2.0000,0.0500,2.56%,3,3396,2.0000,2.0000,2.0000,02.02 15:27
CAPTORTX,170.0000,-3.8600,-2.22%,9,246540,169.0000,173.0000,167.0000,02.02 16:20
CAPTORTX-PDA,182.0000,0.0000,0.00%,34,97151,182.0000,185.0000,180.0000,10.06 17:01
CAVATINA,24.9900,-0.0100,-0.04%,5,6250,24.6800,25.0000,24.6700,02.02 16:08
