Name, Price, Change, Percentage Change, Transactions Number, Volume, Opening, Max, Min, Time
STAPORKOW,2.8600,-0.2600,-8.33%,35,55400,3.0200,3.0200,2.7600,02.02 16:30
STARHEDGE,0.4730,-0.0050,-1.05%,1,473,0.4730,0.4730,0.4730,02.02 15:00
SUNEX,4.6900,-0.0150,-0.32%,24,25171,4.7050,4.8000,4.6500,02.02 15:56
SYGNITY,8.7400,0.0400,0.46%,9,30989,8.7600,8.7800,8.7000,02.02 15:41
TAURONPE,2.4010,-0.0020,-0.08%,2761,12656801,2.4000,2.4280,2.3670,02.02 16:44
TERMOREX,0.8400,-0.0050,-0.59%,3,420,0.8400,0.8400,0.8400,02.02 12:02
TESGAS,3.3900,0.0050,0.15%,3,1388,3.3850,3.3900,3.3850,02.02 16:35
TOYA,7.6200,0.0000,0.00%,53,126583,7.6900,7.6900,7.5600,02.02 16:35
TRAKCJA,1.7760,0.0360,2.07%,60,105458,1.7700,1.7760,1.7400,02.02 16:38
TRANSPOL,3.5500,-0.0100,-0.28%,23,99742,3.6000,3.6000,3.5500,02.02 16:28
TRITON,4.0000,0.0000,0.00%,5,16704,4.0000,4.0000,4.0000,02.02 15:00
UNIBEP,9.3000,0.2400,2.65%,16,13623,9.1200,9.3000,9.1200,02.02 15:35
UNIMA,6.8400,0.3000,4.59%,50,47420,6.4200,6.8400,6.3400,02.02 16:13
URSUS,0.2580,-0.0020,-0.77%,40,30689,0.2625,0.2625,0.2535,02.02 16:01
VENTUREIN,3.1500,-0.0600,-1.87%,10,22450,3.1900,3.2500,3.0100,02.02 16:30
VINDEXUS,7.4800,0.2400,3.31%,86,177039,7.3200,7.8000,7.2000,02.02 16:43
VISTAL,2.5300,-0.0600,-2.32%,168,351591,2.5500,2.5900,2.4700,02.02 16:19
VIVID,1.2000,0.0220,1.87%,13,5649,1.1220,1.2100,1.1220,02.02 15:30
VRG,3.9200,-0.0200,-0.51%,25,464525,3.9500,3.9500,3.9000,02.02 16:37
WADEX,6.5200,0.0200,0.31%,7,665,6.5200,6.5200,6.5000,07.08 14:10
WARIMPEX,5.5400,0.0000,0.00%,1,332,5.5400,5.5400,5.5400,28.01 12:25
WASKO,1.6300,0.0150,0.93%,24,17010,1.6200,1.6300,1.5850,02.02 16:41
WIELTON,9.2700,0.0200,0.22%,69,222899,9.2500,9.3000,9.1800,02.02 16:40
WIKANA,3.5600,-0.1000,-2.73%,2,1719,3.5600,3.5600,3.5600,02.02 12:01
WINVEST,0.3560,-0.0040,-1.11%,1,1068,0.3560,0.3560,0.3560,01.02 11:00
WOJAS,4.4600,0.1400,3.24%,17,11303,4.4800,4.4800,4.2500,02.02 16:24
YOLO,2.0200,-0.0400,-1.94%,227,395149,2.0600,2.1000,1.9900,02.02 16:44
ZAMET,0.8880,0.0040,0.45%,2,812,0.8860,0.8880,0.8860,02.02 11:36
ZREMB,1.6000,-0.0600,-3.61%,93,139640,1.6100,1.6500,1.5650,02.02 16:42
ZUE,3.0700,0.0200,0.66%,28,29904,3.0500,3.0900,3.0400,02.02 16:25
06MAGNA,3.0400,0.0200,0.66%,50,62295,3.0400,3.1300,2.9950,02.02 16:38
08OCTAVA,1.0000,0.0000,0.00%,3,511,1.0100,1.0100,1.0000,02.02 15:00
3RGAMES,0.8960,0.0560,6.67%,29,21788,0.8800,0.8960,0.8700,02.02 16:17
4FUNMEDIA,8.9200,0.2400,2.76%,11,18404,8.6800,8.9200,8.6800,02.02 15:11
