Time, Price
1627862400000,175.0
1627948800000,175.52
1628035200000,175.1
1628121600000,178.24
1628208000000,174.12
1628467200000,172.0
1628553600000,166.16
1628640000000,167.36
1628726400000,166.86
1628812800000,168.9
1629072000000,165.0
1629158400000,171.02
1629244800000,166.6
1629331200000,168.3
1629417600000,165.74
1629676800000,165.22
1629763200000,165.78
1629849600000,165.58
1629936000000,168.04
1630022400000,167.78
1630281600000,167.62
1630368000000,169.32
1630454400000,170.36
1630540800000,189.98
1630627200000,187.02
1630886400000,188.0
1630972800000,185.0
1631059200000,178.5
1631145600000,180.68
1631232000000,181.42
1631491200000,187.94
1631577600000,188.78
1631664000000,190.86
1631750400000,196.36
1631836800000,195.0
1632096000000,184.42
1632182400000,184.8
1632268800000,190.1
1632355200000,193.0
1632441600000,184.02
1632700800000,181.18
1632787200000,183.82
1632873600000,184.1
1632960000000,191.8
1633046400000,189.54
1633305600000,184.1
1633392000000,194.0
1633478400000,193.14
1633564800000,194.1
1633651200000,194.86
1633910400000,195.2
1633996800000,203.9
1634083200000,208.85
1634169600000,200.0
1634256000000,188.12
1634515200000,189.06
1634601600000,197.48
1634688000000,193.6
1634774400000,181.0
1634860800000,184.28
1635120000000,187.2
1635206400000,182.0
1635292800000,178.02
1635379200000,172.82
1635465600000,173.88
1635811200000,173.42
1635897600000,173.6
1635984000000,181.1
1636070400000,178.82
1636329600000,179.0
1636416000000,181.7
1636502400000,180.74
1636675200000,184.8
1636934400000,183.32
1637020800000,183.0
1637107200000,179.94
1637193600000,181.34
1637280000000,189.0
1637539200000,194.48
1637625600000,201.0
1637712000000,186.54
1637798400000,187.08
1637884800000,185.52
1638144000000,191.52
1638230400000,182.76
1638316800000,185.0
1638403200000,180.0
1638489600000,181.46
1638748800000,184.0
1638835200000,185.58
1638921600000,186.2
1639008000000,180.14
1639094400000,178.54
1639353600000,182.62
1639440000000,172.92
1639526400000,179.0
1639612800000,183.96
1639699200000,188.96
1639958400000,193.04
1640044800000,191.36
1640131200000,197.84
1640217600000,194.58
1640563200000,195.28
1640649600000,190.5
1640736000000,190.12
1640822400000,192.9
1641168000000,200.6
1641254400000,198.46
1641340800000,204.0
1641513600000,198.64
1641772800000,188.1
1641859200000,188.56
1641945600000,196.0
1642032000000,193.02
1642118400000,191.0
1642377600000,191.0
1642464000000,194.0
1642550400000,187.74
1642636800000,190.0
1642723200000,186.0
1642982400000,178.0
1643068800000,172.82
1643155200000,173.12
1643241600000,175.4
1643328000000,166.22
1643587200000,180.06
1643673600000,180.94
